城名,URL
仁位山城,https://gosenzo.net/yamajiro/2021/09/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%bb%81%e4%bd%8d%e5%b1%b1%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e4%bb%81%e4%bd%8d%e3%80%91/
徳久城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%be%b3%e4%b9%85%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e6%9d%b1%e5%be%b3%e4%b9%85%e3%80%91/
矢能の砦,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%9f%a2%e8%83%bd%e3%81%ae%e7%a0%a6%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e7%9f%a2%e8%83%bd%e3%80%91/
米田城（熊見城）,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%b1%b3%e7%94%b0%e5%9f%8e%ef%bc%88%e7%86%8a%e8%a6%8b%e5%9f%8e%ef%bc%89%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e7%b1%b3%e7%94%b0/
感状山城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%84%9f%e7%8a%b6%e5%b1%b1%e5%9f%8e%e3%80%90%e7%9b%b8%e7%94%9f%e5%b8%82%e7%9f%a2%e9%87%8e%e7%94%ba%e6%a3%ae%e3%80%91/
白旗城,https://gosenzo.net/yamajiro/2021/09/25/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%99%bd%e6%97%97%e5%9f%8e%e3%80%90%e8%b5%a4%e7%a9%82%e9%83%a1%e4%b8%8a%e9%83%a1%e7%94%ba%e8%b5%a4%e6%9d%be%e3%80%91/
龍野城,https://gosenzo.net/yamajiro/2021/09/26/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%be%8d%e9%87%8e%e5%9f%8e%e3%80%90%e3%81%9f%e3%81%a4%e3%81%ae%e5%b8%82%e9%be%8d%e9%87%8e%e7%94%ba%e4%b8%8a%e9%9c%9e%e5%9f%8e%e3%80%91/
鶏籠山城,https://gosenzo.net/yamajiro/2021/09/27/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b6%8f%e7%b1%a0%e5%b1%b1%e5%9f%8e%e3%80%90%e3%81%9f%e3%81%a4%e3%81%ae%e5%b8%82%e9%be%8d%e9%87%8e%e7%94%ba%e4%b8%8a%e9%9c%9e%e5%9f%8e%e3%80%91/
山下城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b1%b1%e4%b8%8b%e5%9f%8e%e3%80%90%e5%8a%a0%e8%a5%bf%e5%b8%82%e5%b1%b1%e4%b8%8b%e7%94%ba%e3%80%91/
小谷城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b0%8f%e8%b0%b7%e5%9f%8e%e3%80%90%e5%8a%a0%e8%a5%bf%e5%b8%82%e5%8c%97%e6%9d%a1%e7%94%ba%e5%b0%8f%e8%b0%b7%e3%80%91/
篠山城,https://gosenzo.net/yamajiro/2021/09/30/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%af%a0%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e5%8c%97%e6%96%b0%e7%94%ba%e3%80%91/
黒井城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%bb%92%e4%ba%95%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e5%b8%82%e6%98%a5%e6%97%a5%e7%94%ba%e9%bb%92%e4%ba%95%e3%80%91/
利神城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%88%a9%e7%a5%9e%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%b9%b3%e7%a6%8f%e3%80%91/
八上城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%85%ab%e4%b8%8a%e5%9f%8e%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e5%85%ab%e4%b8%8a%e5%86%85%e5%ad%97%e9%ab%98%e5%9f%8e%e5%b1%b1%e3%80%91/
蕪丸城（奥谷城,https://gosenzo.net/yamajiro/2021/10/02/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%95%aa%e4%b8%b8%e5%9f%8e%ef%bc%88%e5%a5%a5%e8%b0%b7%e5%9f%8e%ef%bc%89%e3%80%90%e4%b8%b9%e6%b3%a2%e7%af%a0%e5%b1%b1%e5%b8%82%e6%ae%bf%e7%94%ba%e3%80%91/
明石城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%98%8e%e7%9f%b3%e5%9f%8e%e3%80%90%e6%98%8e%e7%9f%b3%e5%b8%82%e6%98%8e%e7%9f%b3%e5%85%ac%e5%9c%921%e4%b8%81%e7%9b%ae%e3%80%91/
洲本城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%b4%b2%e6%9c%ac%e5%9f%8e%e3%80%90%e6%b4%b2%e6%9c%ac%e5%b8%82%e5%b1%b1%e6%89%8b1%e4%b8%81%e7%9b%ae%e3%80%91/
尼崎城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b0%bc%e5%b4%8e%e5%9f%8e%e3%80%90%e5%b0%bc%e5%b4%8e%e5%b8%82%e5%8c%97%e5%9f%8e%e5%86%85%e3%80%91/
